endlat,endlon
13.62969998,100.7074782
13.94412065,100.7738137
13.99157992,100.8181311
13.99795813,100.8186079
13.97828152,99.9953541
13.60491474,100.5962937
13.51907495,100.6810733
13.61830562,100.6487191
13.65114634,100.5977845
13.64991716,100.5971275
13.7190499,100.67104
13.63289244,100.7121345
13.63296623,100.7120067
13.58397205,100.6164947
13.56834383,100.6075073
13.6147864,100.5926703
13.6304684,100.588308
13.75381975,100.4770911
13.76068436,100.4966287
13.5380583,100.62298
13.66515021,100.6033937
13.98047386,100.326173
13.7169349,100.5598097
13.78700047,100.6768743
13.70036607,100.6467255
13.59850521,100.7938553
13.70018848,100.5411138
13.73152308,100.5682889
13.75257703,100.4464634
13.73208957,100.5674824
13.73205477,100.5675333
13.77288455,100.5734437
13.74521077,100.603409
13.78151446,100.6705853
13.63148965,100.619616
13.66788357,100.6045057
13.86415943,100.5033702
13.80611994,100.5751013
13.73107635,100.5453079
13.77857226,100.5768363
13.91489903,100.410448
13.71731943,100.4507612
13.67647039,100.435731
13.70468456,100.3158074
13.71536968,100.26154
13.66956662,100.4516758
13.74442098,100.5020132
13.72264972,100.4613455
13.70433835,100.3259689
13.55424336,100.2731307
13.65560656,100.3537256
13.69613004,100.6475768
13.59648751,100.5963998
13.72089449,100.7401186
13.85743898,100.5356824
13.76649828,100.644197
13.6800662,100.6096544
13.69505634,100.6475258
13.62943127,100.7183052
13.57591212,100.7930617
13.63325844,100.7114978
13.72747025,100.7463651
13.70778108,100.6001344
13.71546542,100.6429122
13.7735591,100.7462467
13.63340062,100.6163247
13.64615984,100.5957229
13.61504982,100.6503111
13.62006084,100.6437839
13.67712208,100.6504564
13.60889909,100.675878
13.60364759,100.7012594
13.64833121,100.5966271
13.80371074,100.5545457
13.734026,100.5647075
13.76323683,100.6495793
13.70041384,100.6467141
13.67992977,100.6096002
13.62189404,100.7051984
13.62998294,100.6223967
13.61501242,100.6503051
13.92099323,100.6021691
13.79380704,100.5387401
13.73016887,100.5700217
13.76799431,100.5968714
13.75797045,100.5341527
13.7798729,100.5226072
13.76634555,100.5352463
13.7572471,100.5340713
13.68358854,100.4831804
13.72811919,100.5329729
13.77958615,100.4761246
13.73000361,100.5318257
